wl	flux	unc
10853.45014	0.013695644	0.000136956
10853.52484	0.008299671	8.29967E-05
10853.59954	0.013704481	0.000137045
10853.67422	0.009230712	9.23071E-05
10853.7489	0.012385312	0.000123853
10853.82356	0.021451825	0.000214518
10853.89821	0.009292341	9.29234E-05
10853.97285	0.016788553	0.000167886
10854.04749	-0.009801706	-9.80171E-05
10854.12211	-0.027861126	-0.000278611
10854.19672	-0.017724029	-0.00017724
10854.27131	-0.015096763	-0.000150968
10854.3459	-0.002008135	-2.00814E-05
10854.42048	0.013957528	0.000139575
10854.49505	0.007824501	7.8245E-05
10854.5696	-0.003329719	-3.32972E-05
10854.64415	0.001262673	1.26267E-05
10854.71868	0.010362952	0.00010363
10854.7932	0.006349638	6.34964E-05
10854.86772	0.002800759	2.80076E-05
10854.94222	0.012515011	0.00012515
10855.01671	0.013400473	0.000134005
10855.09119	0.01724306	0.000172431
10855.16566	0.015407766	0.000154078
10855.24012	0.00116645	1.16645E-05
10855.31457	0.00762895	7.62895E-05
10855.389	0.005740472	5.74047E-05
10855.46343	-0.004227837	-4.22784E-05
10855.53785	-0.003627386	-3.62739E-05
10855.61225	-0.019547338	-0.000195473
10855.68665	-0.010693288	-0.000106933
10855.76103	-0.000561957	-5.61957E-06
10855.8354	-0.00213614	-2.13614E-05
10855.90976	0.011480194	0.000114802
10855.98411	0.026468736	0.000264687
10856.05845	0.020428484	0.000204285
10856.13278	0.002787875	2.78788E-05
10856.2071	0.049384276	0.000493843
10856.28141	0.035020881	0.000350209
10856.35571	0.026091299	0.000260913
10856.42999	0.00127889	1.27889E-05
10856.50427	0.007394434	7.39443E-05
10856.57853	0.006331629	6.33163E-05
10856.65279	-0.001735615	-1.73562E-05
10856.72703	0.025019829	0.000250198
10856.80126	0.026422426	0.000264224
10856.87548	0.010605668	0.000106057
10856.94969	0.00700574	7.00574E-05
10857.02389	0.002805083	2.80508E-05
10857.09808	0.009497267	9.49727E-05
10857.17226	0.015275873	0.000152759
10857.24643	0.017607788	0.000176078
10857.32059	0.004735741	4.73574E-05
10857.39473	0.011083903	0.000110839
10857.46887	0.0054977	5.4977E-05
10857.54299	0.02739131	0.000273913
10857.6171	0.018262436	0.000182624
10857.69121	0.015340209	0.000153402
10857.7653	0.022164812	0.000221648
10857.83938	0.010826357	0.000108264
10857.91345	0.025758613	0.000257586
10857.98751	0.017838554	0.000178386
10858.06155	0.013534434	0.000135344
10858.13559	0.016184113	0.000161841
10858.20962	0.004245106	4.24511E-05
10858.28363	0.011806524	0.000118065
10858.35764	0.014788382	0.000147884
10858.43163	-0.001145865	-1.14586E-05
10858.50562	0.009796984	9.79698E-05
10858.57959	-0.000694001	-6.94001E-06
10858.65355	0.009141817	9.14182E-05
10858.7275	0.009372572	9.37257E-05
10858.80144	0.01217117	0.000121712
10858.87537	0.005657584	5.65758E-05
10858.94929	0.014757415	0.000147574
10859.0232	0.002625651	2.62565E-05
10859.09709	0.012354183	0.000123542
10859.17098	0.012410622	0.000124106
10859.24485	0.005216603	5.2166E-05
10859.31872	0.013939293	0.000139393
10859.39257	-0.000407443	-4.07443E-06
10859.46641	0.002486092	2.48609E-05
10859.54024	0.001858152	1.85815E-05
10859.61406	0.00398883	3.98883E-05
10860.79371	-0.003794951	-3.79495E-05
10860.86735	0.002973409	2.97341E-05
10860.94097	-0.001137711	-1.13771E-05
10861.01459	-0.001498231	-1.49823E-05
10861.08819	-0.008967692	-8.96769E-05
10861.16178	-0.008670634	-8.67063E-05
10861.23536	-0.026955495	-0.000269555
10861.30893	-0.003716637	-3.71664E-05
10861.38249	0.009517518	9.51752E-05
10861.45604	-0.002271543	-2.27154E-05
10861.52958	-0.004021846	-4.02185E-05
10861.60311	0.016780789	0.000167808
10861.67662	0.015818545	0.000158185
10861.75013	0.005856562	5.85656E-05
10861.82362	0.001606445	1.60644E-05
10861.89711	0.000219651	2.19651E-06
10861.97058	-0.017682365	-0.000176824
10862.04404	-0.008436423	-8.43642E-05
10863.65743	0.000746652	7.46652E-06
10863.73064	0.009264916	9.26492E-05
10863.80384	-0.000491185	-4.91185E-06
10863.87703	0.003548219	3.54822E-05
10863.95021	0.019024823	0.000190248
10864.02337	0.004215096	4.2151E-05
10864.09653	-0.005546199	-5.5462E-05
10864.16967	0.011655074	0.000116551
10864.24281	-5.42E-06	-5.42079E-08
10864.31593	0.015094559	0.000150946
10864.38904	0.012170941	0.000121709
10864.46214	-0.010284235	-0.000102842
10864.53523	-0.003223759	-3.22376E-05
10864.60831	0.010151311	0.000101513
10864.68138	0.012799819	0.000127998
10864.75444	0.014202502	0.000142025
10864.82748	0.003133593	3.13359E-05
10864.90052	-0.00085947	-8.5947E-06
10864.97354	0.008613548	8.61355E-05
10865.04656	0.000751964	7.51964E-06
10865.11956	0.008860719	8.86072E-05
10865.19255	0.006410002	6.41E-05
10865.26553	0.007098951	7.09895E-05
10865.3385	-0.007838359	-7.83836E-05
10865.41146	0.011465497	0.000114655
10865.48441	0.007429773	7.42977E-05
10865.55734	-0.006357894	-6.35789E-05
10865.63027	0.011584546	0.000115845
10865.70318	0.009283182	9.28318E-05
10865.77609	0.006578189	6.57819E-05
10865.84898	0.001124087	1.12409E-05
10865.92186	-0.01391195	-0.000139119
10866.72284	0.004984232	4.98423E-05
10866.79559	-0.001443715	-1.44372E-05
10866.86833	0.018350132	0.000183501
10866.94106	0.015376046	0.00015376
10867.01377	-0.00618619	-6.18619E-05
10867.08648	-0.001301059	-1.30106E-05
10867.15917	0.01319845	0.000131984
10867.23186	0.01571265	0.000157127
10867.30453	0.011194113	0.000111941
10867.37719	0.003661715	3.66172E-05
10867.44985	0.009577915	9.57792E-05
10867.52249	0.011265917	0.000112659
10867.59512	0.012436144	0.000124361
10867.66773	0.018607528	0.000186075
10867.74034	0.0237317	0.000237317
10867.81294	-0.000697627	-6.97627E-06
10867.88552	0.000237076	2.37076E-06
10867.9581	-0.00217625	-2.17625E-05
10868.03066	0.019290399	0.000192904
10868.10321	0.017768031	0.00017768
10868.17575	0.010631124	0.000106311
10868.24828	0.016975439	0.000169754
10868.3208	0.007935386	7.93539E-05
10868.39331	0.012173315	0.000121733
10868.46581	0.014125104	0.000141251
10868.5383	0.01101477	0.000110148
10868.61077	0.014227141	0.000142271
10868.68324	0.012825157	0.000128252
10868.75569	0.006901172	6.90117E-05
10868.82813	0.010162504	0.000101625
10868.90056	0.004673365	4.67336E-05
10868.97298	-0.005193003	-5.193E-05
10869.04539	0.007975059	7.97506E-05
10869.11779	0.017602324	0.000176023
10869.19018	0.02526712	0.000252671
10869.26255	0.015879352	0.000158794
10869.33492	0.012413304	0.000124133
10869.40727	0.003782681	3.78268E-05
10869.47962	0.007428268	7.42827E-05
10869.55195	0.012892346	0.000128923
10869.62427	0.016578693	0.000165787
10869.69658	0.013781851	0.000137819
10869.76888	0.012906136	0.000129061
10869.84117	0.003434663	3.43466E-05
10869.91344	0.003429759	3.42976E-05
10869.98571	0.005433661	5.43366E-05
10870.05797	0.012972456	0.000129725
10870.13021	0.012317007	0.00012317
10870.20244	0.00798488	7.98488E-05
10870.27466	0.003997182	3.99718E-05
10870.34688	0.00121933	1.21933E-05
10870.41908	0.007545964	7.54596E-05
10870.49126	0.012147451	0.000121475
10871.42871	-0.000833878	-8.33878E-06
10871.50075	0.004265913	4.26591E-05
10871.57277	0.005720253	5.72025E-05
10871.64478	0.002429278	2.42928E-05
10872.50807	-0.009983636	-9.98364E-05
10872.57993	-0.003109203	-3.1092E-05
10872.65179	-0.007514352	-7.51435E-05
10872.72364	-0.005079592	-5.07959E-05
10872.79547	0.004205853	4.20585E-05
10872.8673	0.007970552	7.97055E-05
10872.93911	0.010504986	0.00010505
10873.01091	0.006727527	6.72753E-05
10873.0827	0.009460747	9.46075E-05
10873.15448	0.003878107	3.87811E-05
10873.22625	-0.004255661	-4.25566E-05
10873.29801	0.012937717	0.000129377
10873.36976	0.013273822	0.000132738
10873.44149	-0.008361211	-8.36121E-05
10873.51321	0.009476342	9.47634E-05
10873.58493	0.005431013	5.43101E-05
10873.65663	0.019020744	0.000190207
10873.72832	0.012964885	0.000129649
10873.8	0.013971747	0.000139717
10873.87167	0.011523181	0.000115232
10873.94333	0.019352073	0.000193521
10874.01498	0.014831013	0.00014831
10874.08661	0.010472293	0.000104723
10874.15824	0.019967729	0.000199677
10874.22985	0.007519887	7.51989E-05
10874.30145	0.009630003	9.63E-05
10874.37304	0.008281609	8.28161E-05
10874.44462	0.021505628	0.000215056
10874.51619	0.009464887	9.46489E-05
10874.58775	0.002509128	2.50913E-05
10874.6593	0.009272147	9.27215E-05
10874.73083	0.015007584	0.000150076
