HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458783.56415,2019-10-27.0660611,bs,1.50,15.013,10.261,0.007,285.676,1.932,g
2458783.56537,2019-10-27.0672741,bs,1.49,14.991,10.232,0.009,293.357,2.476,g
2458783.56660,2019-10-27.0685050,bs,1.47,15.000,10.249,0.008,288.698,2.224,g
2458786.54759,2019-10-30.0495484,bs,1.72,14.978,10.251,0.010,288.340,2.649,g
2458786.54880,2019-10-30.0507547,bs,1.70,14.976,10.249,0.010,288.768,2.700,g
2458786.55001,2019-10-30.0519668,bs,1.66,14.979,10.257,0.010,286.605,2.496,g
2458789.54957,2019-11-02.0515869,bs,2.03,14.966,10.248,0.011,289.061,2.905,g
2458789.55078,2019-11-02.0527984,bs,2.00,14.965,10.250,0.011,288.525,2.844,g
2458789.55203,2019-11-02.0540502,bs,2.00,14.983,10.265,0.009,284.601,2.456,g
2458792.53696,2019-11-05.0390233,bs,1.70,13.835,10.282,0.019,280.135,4.885,g
2458792.53818,2019-11-05.0402393,bs,1.74,13.508,10.306,0.019,273.815,4.911,g
2458792.53940,2019-11-05.0414552,bs,2.01,13.583,10.310,0.014,272.882,3.519,g
2458793.54024,2019-11-06.0423112,bs,1.72,14.962,10.285,0.009,279.287,2.403,g
2458793.54146,2019-11-06.0435315,bs,1.77,14.957,10.260,0.010,285.811,2.512,g
2458793.54269,2019-11-06.0447615,bs,1.75,14.957,10.261,0.009,285.447,2.429,g
2458859.03118,2020-01-10.5327675,bs,1.57,14.982,10.279,0.008,281.065,2.072,g
2458859.03240,2020-01-10.5339915,bs,1.51,15.009,10.323,0.004,269.544,1.023,g
2458859.03362,2020-01-10.5352101,bs,1.53,14.976,10.288,0.008,278.270,1.963,g
2458865.17524,2020-01-16.6766423,bC,1.48,99.990,99.990,99.990,99.990,99.990,g
2458873.02270,2020-01-24.5238570,bs,1.50,15.015,10.270,0.009,283.305,2.252,g
2458873.02392,2020-01-24.5250815,bs,1.46,14.998,10.236,0.009,291.899,2.322,g
2458873.02516,2020-01-24.5263258,bs,1.45,15.007,10.241,0.008,290.710,2.187,g
2458875.99115,2020-01-27.4922064,bs,1.52,14.982,10.247,0.009,289.314,2.325,g
2458875.99236,2020-01-27.4934262,bs,1.50,14.971,10.221,0.009,296.181,2.373,g
2458875.99362,2020-01-27.4946688,bs,1.47,15.031,10.292,0.004,277.580,0.883,g
2458880.15410,2020-01-31.6550065,bC,1.49,13.291,10.414,0.033,248.047,7.575,g
2458880.15538,2020-01-31.6562875,bC,1.42,14.096,10.261,0.010,285.641,2.653,g
2458880.15665,2020-01-31.6575526,bC,1.45,13.643,10.365,0.016,259.449,3.746,g
2458880.97903,2020-02-01.4799019,bs,1.53,14.980,10.236,0.009,292.277,2.271,g
2458880.98027,2020-02-01.4811435,bs,1.51,14.984,10.243,0.009,290.242,2.296,g
2458880.98151,2020-02-01.4823827,bs,1.46,15.012,10.301,0.009,275.041,2.281,g
2458881.97484,2020-02-02.4756792,bs,1.47,14.876,10.250,0.009,288.488,2.341,g
2458881.97607,2020-02-02.4769060,bs,1.49,14.919,10.298,0.004,276.064,1.029,g
2458881.97732,2020-02-02.4781586,bs,1.51,99.990,99.990,99.990,99.990,99.990,g
2458882.97458,2020-02-03.4753798,bs,1.49,99.990,99.990,99.990,99.990,99.990,g
2458882.97584,2020-02-03.4766449,bs,1.45,99.990,99.990,99.990,99.990,99.990,g
2458882.97704,2020-02-03.4778577,bs,1.49,99.990,99.990,99.990,99.990,99.990,g
2458886.96019,2020-02-07.4608493,bs,1.77,14.847,10.304,0.004,274.633,1.100,g
2458886.96141,2020-02-07.4620688,bs,1.70,14.856,10.306,0.004,274.052,1.079,g
2458886.96268,2020-02-07.4633387,bs,2.01,14.903,10.302,0.004,275.155,1.080,g
2458887.95834,2020-02-08.4589616,bs,1.48,15.001,10.316,0.009,271.425,2.189,g
2458887.95956,2020-02-08.4601822,bs,1.56,14.996,10.286,0.009,278.903,2.401,g
2458904.04517,2020-02-24.5451656,bC,1.40,15.001,10.251,0.009,288.042,2.495,g
2458904.04644,2020-02-24.5464358,bC,1.47,15.056,10.357,0.009,261.397,2.182,g
2458904.04771,2020-02-24.5477043,bC,1.47,15.025,10.303,0.010,274.620,2.447,g
2458906.89422,2020-02-27.3941103,bs,1.49,14.982,10.249,0.007,288.749,1.934,g
2458906.89545,2020-02-27.3953358,bs,1.49,14.969,10.236,0.008,291.952,2.240,g
2458906.89667,2020-02-27.3965531,bs,1.48,14.970,10.239,0.009,291.481,2.389,g
2458907.91239,2020-02-28.4122407,bs,1.49,14.981,10.254,0.009,287.426,2.340,g
2458907.91361,2020-02-28.4134542,bs,1.46,14.978,10.245,0.008,289.769,2.236,g
2458907.91483,2020-02-28.4146725,bs,1.43,14.970,10.227,0.009,294.419,2.387,g
2458909.92379,2020-03-01.4235567,bs,1.55,99.990,99.990,99.990,99.990,99.990,g
2458909.92502,2020-03-01.4247861,bs,1.81,99.990,99.990,99.990,99.990,99.990,g
2458916.06810,2020-03-07.5676331,bC,2.09,14.440,10.339,0.006,265.548,1.570,g
2458916.06937,2020-03-07.5689059,bC,2.39,14.368,10.305,0.014,274.230,3.499,g
2458916.07066,2020-03-07.5701915,bC,2.18,14.385,10.286,0.011,278.906,2.806,g
2458919.00340,2020-03-10.502825,bC,1.50,15.004,10.357,0.009,261.235,2.273,g
2458919.00468,2020-03-10.5041077,bC,1.60,15.104,10.554,0.009,217.949,1.779,g
2458919.00597,2020-03-10.5053973,bC,1.48,15.021,10.370,0.004,258.330,0.943,g
2458919.90930,2020-03-11.4086905,bs,1.52,14.955,10.263,0.009,284.872,2.246,g
2458919.91052,2020-03-11.4099074,bs,1.54,15.001,10.295,0.005,276.840,1.176,g
2458919.91174,2020-03-11.4111268,bs,1.53,15.018,10.368,0.004,258.792,0.988,g
