date,dec,exp_time,jd,qidx,ra,star_name,time
2020-06-25,33.014288,969.15,2459025.859938492,6973.0,17.089529,HAT-P-18b_P2_OUT_before2,08:38:18
2020-06-26,33.022052,969.15,2459026.8353918605,6974.0,17.089717,HAT-P-18b_P2_OUT_before,08:02:57
2020-06-26,33.015555,969.15,2459026.846989586,6974.0,17.089829,HAT-P-18b_P2_OUT_before,08:19:39
2020-06-26,33.008799,969.15,2459026.8585875053,6974.0,17.089979,HAT-P-18b_P2_OUT_before,08:36:21
2020-06-26,33.001815,969.15,2459026.87018541,6974.0,17.090157,HAT-P-18b_P2_OUT_before,08:53:04
2020-07-06,33.022706,969.15,2459036.81478418,6978.0,17.089666,HAT-P-18b_P2_2_OUT_before2,07:33:17
2020-07-06,33.015987,969.15,2459036.8263823115,6978.0,17.089807,HAT-P-18b_P2_2_OUT_before2,07:49:59
2020-07-06,33.009421,969.15,2459036.837979876,6978.0,17.089977,HAT-P-18b_P2_2_OUT_before2,08:06:41
2020-07-06,36.640711,798.75,2459036.8875793153,6585.0,19.069509,Tres-1b_OUT_2b_before,09:18:06
2020-07-06,36.635818,798.75,2459036.897202882,6585.0,19.069606,Tres-1b_OUT_2b_before,09:31:58
2020-07-06,36.631368,798.75,2459036.9068266754,6585.0,19.069688,Tres-1b_OUT_2b_before,09:45:49
2020-07-06,36.626733,798.75,2459036.916450502,6585.0,19.069812,Tres-1b_OUT_2b_before,09:59:41
2021-02-01,4.057998,660.3000000000001,2459246.929110154,8263.0,14.209188,HAT-P-26b_1_IN,10:17:55
2021-02-01,4.057263,660.3000000000001,2459246.937130096,8263.0,14.209378,HAT-P-26b_1_IN,10:29:28
2021-02-01,4.056173,660.3000000000001,2459246.9451497346,8263.0,14.209584,HAT-P-26b_1_IN,10:41:00
2021-02-01,4.054639,660.3000000000001,2459246.953169444,8263.0,14.209796,HAT-P-26b_1_IN,10:52:33
2021-02-01,4.053173,660.3000000000001,2459246.9611893874,8263.0,14.210009,HAT-P-26b_1_IN,11:04:06
2021-01-31,4.057729,660.3000000000001,2459245.937488021,8265.0,14.209234,HAT-P-26b_1_OUT_b2,10:29:58
2021-01-31,4.056567,660.3000000000001,2459245.9455080256,8265.0,14.209438,HAT-P-26b_1_OUT_b2,10:41:31
2021-01-31,4.055341,660.3000000000001,2459245.9535278096,8265.0,14.209657,HAT-P-26b_1_OUT_b2,10:53:04
